GAME_ID,HOME_TEAM,AWAY_TEAM,HOME_WIN
0022400991,PHX,TOR,True
0022400537,LAL,SAS,True
0022400985,HOU,PHI,True
0022400992,SAC,MEM,True
0022400995,POR,WAS,True
0022400979,CLE,ORL,False
0022400982,MIL,OKC,False
0022400978,BKN,ATL,True
0022400538,LAC,CHA,True
0022400980,POR,TOR,True
0022400977,LAL,PHX,True
0022400976,DAL,PHI,False
0022400981,MIN,UTA,True
0022400968,BKN,BOS,False
0022400969,DET,OKC,False
0022400971,MEM,MIA,True
0022400970,HOU,CHI,True
0022400973,SAS,NOP,True
0022400974,GSW,NYK,True
0022400972,MIL,IND,True
0022400975,DEN,WAS,False
0022400959,PHI,IND,False
0022400964,SAS,CHA,False
0022400966,UTA,TOR,False
0022400965,DEN,LAL,True
0022400961,HOU,DAL,True
0022400967,PHX,SAC,True
0022400960,ATL,LAC,False
0022400962,MEM,CLE,False
0022400963,MIN,ORL,True
0022400958,MIA,BOS,False
0022400956,CHI,BKN,True
0022400955,MIL,LAL,True
0022401141,NOP,ORL,False
0022400954,DET,WAS,False
0022400957,GSW,SAC,True
0022400953,POR,NYK,False
0022400952,DEN,MIN,False
0022400945,ATL,CHA,True
0022400949,HOU,PHX,True
0022400951,SAS,DAL,True
0022400948,MIA,LAC,False
0022400946,BOS,OKC,False
0022400947,TOR,PHI,True
0022400950,MEM,UTA,True
0022400941,DET,WAS,True
0022400942,IND,MIL,True
0022400940,CLE,BKN,True
0022400943,NOP,LAC,True
0022400932,TOR,WAS,True
0022400928,ATL,PHI,True
0022400939,SAC,NYK,False
0022400935,MEM,PHX,True
0022400934,HOU,ORL,True
0022400936,OKC,DEN,False
0022400930,BKN,LAL,True
0022400937,SAS,DAL,False
0022400931,MIA,CHA,False
0022400929,BOS,UTA,True
0022400938,GSW,POR,True
0022400933,CHI,IND,True
0022400927,LAC,SAC,True
0022400921,DAL,PHX,False
0022400925,MIN,SAS,True
0022400922,MIL,CLE,False
0022400923,NOP,MEM,False
0022400926,POR,DET,False
0022400924,PHI,UTA,True
0022400920,OKC,DEN,True
0022400916,MIA,CHI,False
0022400913,HOU,NOP,True
0022400918,BOS,LAL,True
0022400917,MIL,ORL,False
0022400914,ATL,IND,True
0022400919,GSW,DET,True
0022400915,TOR,WAS,False
0022400912,CHA,BKN,True
0022400906,DAL,MEM,False
0022400909,DEN,PHX,True
0022400907,MIA,MIN,False
0022400904,CHA,CLE,False
0022400910,SAC,SAS,True
0022400911,LAC,NYK,True
0022400908,OKC,POR,True
0022400905,TOR,UTA,True
0022400901,BKN,GSW,False
0022400899,ATL,IND,True
0022400902,NOP,HOU,False
0022400900,BOS,PHI,True
0022400944,ORL,CHI,False
0022400903,LAL,NYK,True
0022400892,CHA,MIN,False
0022400898,LAC,DET,True
0022400897,MIL,DAL,True
0022400896,DEN,SAC,True
0022400893,CLE,MIA,True
0022400894,WAS,UTA,True
0022400895,MEM,OKC,False
0022400891,BOS,POR,True
0022400889,PHX,LAC,True
0022400883,ORL,TOR,False
0022400882,IND,HOU,True
0022400885,NYK,GSW,False
0022400884,ATL,MIL,False
0022400887,MIN,PHI,True
0022400886,CHI,CLE,False
0022400890,LAL,NOP,True
0022400888,SAS,BKN,True
0022400875,CHA,GSW,False
0022400878,MEM,ATL,False
0022400879,OKC,HOU,True
0022400881,UTA,DET,False
0022400880,DAL,SAC,False
0022400876,PHI,POR,False
0022400877,MIA,WAS,True
0022400872,UTA,NOP,False
0022400866,BOS,DEN,True
0022400869,MIA,NYK,False
0022400874,LAL,LAC,True
0022400873,PHX,MIN,False
0022400868,IND,CHI,True
0022400870,ORL,TOR,False
0022400867,CLE,POR,True
0022400871,SAS,OKC,False
0022400861,DET,BKN,True
0022400863,MEM,SAS,False
0022400862,HOU,SAC,False
0022400865,DAL,MIL,False
0022400864,PHI,GSW,True
0022400860,CHA,WAS,False
0022400859,LAL,LAC,True
0022400851,ATL,OKC,False
0022400855,CHI,TOR,True
0022400858,UTA,MIN,True
0022400853,BKN,POR,False
0022400856,MEM,NYK,False
0022400857,PHX,NOP,True
0022400852,BOS,CLE,False
0022400854,MIA,IND,True
0022400850,DET,DEN,False
0022400845,ORL,GSW,False
0022400846,MIL,DEN,True
0022400848,PHX,NOP,False
0022400847,DAL,CHA,True
0022400849,LAL,MIN,True
0022400837,IND,TOR,True
0022400840,BKN,OKC,False
0022400839,WAS,POR,False
0022400841,MIA,ATL,True
0022400842,CHI,LAC,False
0022400844,HOU,SAS,True
0022400843,UTA,SAC,False
0022400836,DET,BOS,True
0022400838,NYK,PHI,True
0022400835,LAL,DAL,True
0022400829,TOR,BOS,False
0022400832,MEM,PHX,True
0022400831,HOU,MIL,True
0022400834,GSW,CHA,True
0022400833,NOP,SAS,True
0022400830,ORL,CLE,False
0022400827,UTA,POR,False
0022400823,PHI,CHI,False
0022400825,ATL,MIA,True
0022400826,OKC,MIN,False
0022400822,IND,DEN,False
0022400828,SAC,CHA,True
0022400824,WAS,BKN,True
0022400821,DET,LAC,True
0022400819,CLE,MEM,True
0022400813,IND,LAC,True
0022400812,GSW,DAL,True
0022400818,NOP,SAS,True
0022400814,ATL,DET,False
0022400820,MIN,OKC,False
0022400811,BOS,NYK,True
0022400816,TOR,PHX,True
0022400815,ORL,WAS,True
0022400817,MIL,MIA,True
0022400810,POR,CHA,True
0022400806,CHI,PHX,False
0022400808,DEN,LAL,False
0022400807,PHI,BKN,False
0022400809,UTA,HOU,True
0022400800,TOR,MIA,False
0022400801,HOU,MIN,True
0022400797,CLE,NYK,True
0022400798,ORL,MEM,False
0022400802,SAS,DET,False
0022400799,WAS,MIL,False
0022400803,DAL,NOP,True
0022400805,SAC,GSW,False
0022400804,UTA,OKC,False
0022400789,PHI,BOS,False
0022400790,ATL,ORL,False
0022400788,IND,MEM,True
0022400794,DEN,CHA,True
0022400791,BKN,CLE,False
0022400796,POR,LAL,False
0022400793,MIL,LAC,True
0022400792,NYK,CHI,True
0022400795,SAS,PHX,True
0022400524,LAL,CHA,False
0022400786,DAL,MIA,True
0022400784,HOU,GSW,False
0022400785,NOP,SAC,True
0022401004,UTA,LAC,False
0022400787,MIN,OKC,True
0022400778,OKC,MIA,True
0022400777,NOP,SAC,False
0022400771,WAS,IND,False
0022400780,DEN,POR,True
0022400774,TOR,CLE,False
0022400773,NYK,ATL,True
0022400776,MIN,MIL,False
0022400775,CHI,DET,False
0022400772,BKN,PHI,True
