PLAYER_ID,SEASON_ID,LEAGUE_ID,TEAM_ID,TEAM_ABBREVIATION,PLAYER_AGE,GP,GS,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PPG,APG,PER,FULL_NAME
1630567,2024-25,00,1610612761,TOR,23.0,65,65,2134.0,474,1063,0.446,76,280,0.271,228,302,0.755,109,393,502,378,93,63,185,113,1252,19.3,5.8,23.2,Scottie Barnes
1629628,2024-25,00,1610612761,TOR,24.0,58,58,1869.0,460,982,0.468,107,306,0.35,196,311,0.63,61,305,366,314,46,17,165,137,1223,21.1,5.4,22.0,RJ Barrett
1629646,2024-25,00,1610612759,SAS,24.0,36,1,376.0,68,117,0.581,0,0,0.0,21,33,0.636,56,96,152,17,14,30,23,50,157,4.4,0.5,23.1,Charles Bassey
1641734,2024-25,00,1610612739,CLE,21.0,10,0,75.0,13,38,0.342,11,30,0.367,0,0,0.0,0,7,7,8,1,1,2,4,37,3.7,0.8,13.4,Emoni Bates
1642419,2024-25,00,1610612761,TOR,23.0,59,10,1042.0,149,347,0.429,105,259,0.405,16,18,0.889,37,121,158,53,17,10,27,92,419,7.1,0.9,13.9,Jamison Battle
201587,2024-25,00,1610612746,LAC,36.0,78,8,1367.0,104,238,0.437,88,203,0.433,17,21,0.81,47,171,218,84,52,36,34,111,313,4.0,1.1,12.2,Nicolas Batum
1641878,2024-25,00,1610612766,CHA,24.0,15,2,370.0,42,130,0.323,12,56,0.214,13,15,0.867,14,36,50,56,15,2,31,22,109,7.3,3.7,8.7,Damion Baugh
203078,2024-25,00,1610612756,PHX,31.0,53,38,1702.0,345,694,0.497,102,264,0.386,110,137,0.803,34,143,177,195,58,28,99,136,902,17.0,3.7,19.2,Bradley Beal
1627736,2024-25,00,1610612765,DET,28.0,82,18,2283.0,461,1071,0.43,319,766,0.416,95,140,0.679,47,167,214,139,73,5,83,125,1336,16.3,1.7,18.6,Malik Beasley
1630699,2024-25,00,1610612752,NYK,24.0,35,0,156.0,27,65,0.415,10,29,0.345,15,20,0.75,11,33,44,11,4,1,15,14,79,2.3,0.3,15.7,MarJon Beauchamp
1641736,2024-25,00,1610612751,BKN,23.0,36,4,469.0,35,107,0.327,7,40,0.175,16,21,0.762,13,26,39,63,33,2,21,36,93,2.6,1.8,9.3,Reece Beekman
1629048,2024-25,00,1610612753,ORL,25.0,70,42,1429.0,207,339,0.611,3,28,0.107,85,133,0.639,167,296,463,137,49,98,72,150,502,7.2,2.0,22.0,Goga Bitadze
202687,2024-25,00,1610612759,SAS,32.0,28,26,528.0,67,114,0.588,0,0,0.0,10,25,0.4,43,115,158,31,16,23,27,52,144,5.1,1.1,15.1,Bismack Biyombo
1641710,2024-25,00,1610612753,ORL,21.0,78,10,1887.0,262,620,0.423,62,195,0.318,150,197,0.761,52,178,230,240,86,48,139,166,736,9.4,3.1,14.3,Anthony Black
203992,2024-25,00,1610612746,LAC,32.0,54,4,1348.0,210,492,0.427,105,289,0.363,58,66,0.879,24,135,159,146,41,11,74,127,583,10.8,2.7,14.4,Bogdan Bogdanović
1629626,2024-25,00,1610612756,PHX,25.0,36,10,448.0,96,183,0.525,32,93,0.344,20,26,0.769,20,84,104,22,9,25,20,20,244,6.8,0.6,22.6,Bol Bol
1641737,2024-25,00,1610612755,PHI,22.0,58,11,905.0,135,192,0.703,0,1,0.0,67,100,0.67,92,153,245,27,26,69,61,125,337,5.8,0.5,19.1,Adem Bona
1626164,2024-25,00,1610612756,PHX,28.0,75,75,2795.0,654,1420,0.461,183,551,0.332,432,483,0.894,76,229,305,529,67,16,220,198,1923,25.6,7.1,24.5,Devin Booker
1630527,2024-25,00,1610612740,NOP,23.0,42,10,993.0,166,381,0.436,49,140,0.35,67,85,0.788,28,106,134,92,53,9,52,73,448,10.7,2.2,16.3,Brandon Boston
1628449,2024-25,00,1610612761,TOR,32.0,50,0,862.0,182,370,0.492,70,193,0.363,68,87,0.782,70,154,224,33,24,25,29,68,502,10.0,0.7,23.7,Chris Boucher
1631123,2024-25,00,1610612749,MIL,25.0,5,1,62.0,6,12,0.5,1,5,0.2,4,6,0.667,1,4,5,10,4,2,8,2,17,3.4,2.0,12.1,Jamaree Bouyea
1628396,2024-25,00,1610612754,IND,27.0,14,0,113.0,29,45,0.644,1,3,0.333,2,6,0.333,18,24,42,6,2,9,5,11,61,4.4,0.4,28.3,Tony Bradley
1631103,2024-25,00,1610612759,SAS,21.0,47,0,427.0,87,190,0.458,34,84,0.405,27,33,0.818,7,44,51,38,11,2,34,29,235,5.0,0.8,16.2,Malaki Branham
1631128,2024-25,00,1610612743,DEN,24.0,79,77,2675.0,476,821,0.58,89,224,0.397,177,214,0.827,98,312,410,205,85,37,81,170,1218,15.4,2.6,20.1,Christian Braun
1641779,2024-25,00,1610612756,PHX,23.0,8,0,30.0,2,7,0.286,2,7,0.286,3,4,0.75,0,4,4,0,0,0,4,0,9,1.1,0.0,1.4,Jalen Bridges
1628969,2024-25,00,1610612752,NYK,28.0,82,82,3036.0,592,1183,0.5,164,463,0.354,96,118,0.814,71,188,259,306,75,43,132,127,1444,17.6,3.7,17.4,Mikal Bridges
1628970,2024-25,00,1610612766,CHA,27.0,64,64,2029.0,469,1089,0.431,141,450,0.313,221,254,0.87,72,409,481,248,44,45,136,93,1300,20.3,3.9,22.5,Miles Bridges
1629052,2024-25,00,1610612755,PHI,26.0,6,2,142.0,19,39,0.487,6,18,0.333,8,14,0.571,7,15,22,4,4,3,8,14,52,8.7,0.7,12.0,Oshae Brissett
1627763,2024-25,00,1610612764,WAS,32.0,24,13,564.0,104,240,0.433,16,56,0.286,81,92,0.88,21,70,91,98,13,5,38,30,305,12.7,4.1,20.6,Malcolm Brogdon
1628415,2024-25,00,1610612745,HOU,29.0,75,75,2388.0,384,895,0.429,186,469,0.397,99,121,0.818,75,200,275,128,60,16,76,242,1053,14.0,1.7,13.7,Dillon Brooks
1631232,2024-25,00,1610612740,NOP,24.0,14,6,332.0,53,109,0.486,14,43,0.326,22,30,0.733,12,46,58,13,10,10,12,30,142,10.1,0.9,16.0,Keion Brooks Jr.
1628971,2024-25,00,1610612740,NOP,28.0,41,12,922.0,130,309,0.421,27,81,0.333,53,65,0.815,40,124,164,84,34,10,39,71,340,8.3,2.0,14.1,Bruce Brown
1627759,2024-25,00,1610612738,BOS,28.0,63,63,2158.0,518,1118,0.463,116,358,0.324,246,322,0.764,82,286,368,286,73,19,162,154,1398,22.2,4.5,22.1,Jaylen Brown
1641738,2024-25,00,1610612746,LAC,25.0,40,0,272.0,33,72,0.458,6,26,0.231,5,7,0.714,19,46,65,24,7,4,12,23,77,1.9,0.6,13.1,Kobe Brown
1629650,2024-25,00,1610612742,DAL,25.0,13,2,119.0,34,49,0.694,0,0,0.0,8,11,0.727,12,32,44,2,6,4,11,17,76,5.8,0.2,27.3,Moses Brown
1628973,2024-25,00,1610612752,NYK,28.0,65,65,2301.0,585,1200,0.487,152,397,0.383,368,448,0.821,27,160,187,475,60,8,164,138,1690,26.0,7.3,26.9,Jalen Brunson
1628418,2024-25,00,1610612754,IND,27.0,66,8,963.0,163,321,0.508,48,148,0.324,55,64,0.859,83,168,251,53,28,41,30,76,429,6.5,0.8,21.2,Thomas Bryant
